PA.nb.absences,Sampling_Technique,PA_Ratio,Radii,Sigma_(KDE),Boyce_Index
TargetBased_Sigma5_Buffer50k_300k_n800.tif,Target Group-Based Sampling,800,50 - 300 km,5,0.467350198
TargetBased_Sigma1_Buffer50k_500k_n800.tif,Target Group-Based Sampling,800,50 - 500 km,1,0.347793054
TargetBased_Sigma3_Buffer50k_500k_n800.tif,Target Group-Based Sampling,800,50 - 500 km,3,0.306840198
TargetBased_Sigma5_Buffer50k_500k_n800.tif,Target Group-Based Sampling,800,50 - 500 km,5,0.288530772
TargetBased_Sigma1_Buffer0_n2000.tif,Target Group-Based Sampling,2000, - ,1,0.829818522
TargetBased_Sigma3_Buffer0_n2000.tif,Target Group-Based Sampling,2000, - ,3,0.836866599
TargetBased_Sigma5_Buffer0_n2000.tif,Target Group-Based Sampling,2000, - ,5,0.703579402
TargetBased_Sigma1_Buffer50k_150k_n2000.tif,Target Group-Based Sampling,2000,50 - 150 km,1,0.827234475
TargetBased_Sigma3_Buffer50k_150k_n2000.tif,Target Group-Based Sampling,2000,50 - 150 km,3,0.690107921
TargetBased_Sigma5_Buffer50k_150k_n2000.tif,Target Group-Based Sampling,2000,50 - 150 km,5,0.835721804
TargetBased_Sigma1_Buffer50k_300k_n2000.tif,Target Group-Based Sampling,2000,50 - 300 km,1,0.505525599
TargetBased_Sigma3_Buffer50k_300k_n2000.tif,Target Group-Based Sampling,2000,50 - 300 km,3,0.644532891
TargetBased_Sigma5_Buffer50k_300k_n2000.tif,Target Group-Based Sampling,2000,50 - 300 km,5,0.49058151
TargetBased_Sigma1_Buffer50k_500k_n2000.tif,Target Group-Based Sampling,2000,50 - 500 km,1,0.105192827
TargetBased_Sigma3_Buffer50k_500k_n2000.tif,Target Group-Based Sampling,2000,50 - 500 km,3,0.136392471
TargetBased_Sigma5_Buffer50k_500k_n2000.tif,Target Group-Based Sampling,2000,50 - 500 km,5,0.330277078
TargetBased_Sigma1_Buffer0_n4000.tif,Target Group-Based Sampling,4000, - ,1,0.793962178
TargetBased_Sigma3_Buffer0_n4000.tif,Target Group-Based Sampling,4000, - ,3,0.826366814
TargetBased_Sigma5_Buffer0_n4000.tif,Target Group-Based Sampling,4000, - ,5,0.861464581
TargetBased_Sigma1_Buffer50k_150k_n4000.tif,Target Group-Based Sampling,4000,50 - 150 km,1,0.763024301
TargetBased_Sigma3_Buffer50k_150k_n4000.tif,Target Group-Based Sampling,4000,50 - 150 km,3,0.804071384
TargetBased_Sigma5_Buffer50k_150k_n4000.tif,Target Group-Based Sampling,4000,50 - 150 km,5,0.620951097
TargetBased_Sigma1_Buffer50k_300k_n4000.tif,Target Group-Based Sampling,4000,50 - 300 km,1,0.856068503
TargetBased_Sigma3_Buffer50k_300k_n4000.tif,Target Group-Based Sampling,4000,50 - 300 km,3,0.725563069
TargetBased_Sigma5_Buffer50k_300k_n4000.tif,Target Group-Based Sampling,4000,50 - 300 km,5,0.83535601
TargetBased_Sigma1_Buffer50k_500k_n4000.tif,Target Group-Based Sampling,4000,50 - 500 km,1,0.151001679
TargetBased_Sigma3_Buffer50k_500k_n4000.tif,Target Group-Based Sampling,4000,50 - 500 km,3,0.2781596
TargetBased_Sigma5_Buffer50k_500k_n4000.tif,Target Group-Based Sampling,4000,50 - 500 km,5,0.155442389
TargetBased_Sigma1_Buffer0_n10000.tif,Target Group-Based Sampling,10000, - ,1,0.723024016
TargetBased_Sigma3_Buffer0_n10000.tif,Target Group-Based Sampling,10000, - ,3,0.637770979
TargetBased_Sigma5_Buffer0_n10000.tif,Target Group-Based Sampling,10000, - ,5,0.801057058
TargetBased_Sigma1_Buffer50k_150k_n10000.tif,Target Group-Based Sampling,10000,50 - 150 km,1,0.754722355
TargetBased_Sigma3_Buffer50k_150k_n10000.tif,Target Group-Based Sampling,10000,50 - 150 km,3,0.707929569
TargetBased_Sigma5_Buffer50k_150k_n10000.tif,Target Group-Based Sampling,10000,50 - 150 km,5,0.749550068
TargetBased_Sigma1_Buffer50k_300k_n10000.tif,Target Group-Based Sampling,10000,50 - 300 km,1,0.723572385
TargetBased_Sigma3_Buffer50k_300k_n10000.tif,Target Group-Based Sampling,10000,50 - 300 km,3,0.856498694
TargetBased_Sigma5_Buffer50k_300k_n10000.tif,Target Group-Based Sampling,10000,50 - 300 km,5,0.725778403
TargetBased_Sigma1_Buffer50k_500k_n10000.tif,Target Group-Based Sampling,10000,50 - 500 km,1,0.695293135
TargetBased_Sigma3_Buffer50k_500k_n10000.tif,Target Group-Based Sampling,10000,50 - 500 km,3,0.59939827
TargetBased_Sigma5_Buffer50k_500k_n10000.tif,Target Group-Based Sampling,10000,50 - 500 km,5,0.62136957
